PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,AgeGroup
124,1,2,"Webber, Miss. Susan",0,32.5,0,0,13.0,2,Adulte
125,0,1,"White, Mr. Percival Wayland",1,54.0,0,1,77.2875,2,Adulte
126,1,3,"Nicola-Yarred, Master. Elias",1,12.0,1,0,11.2417,0,Enfant
127,0,3,"McMahon, Mr. Martin",1,28.0,0,0,7.75,1,Adulte
128,1,3,"Madsen, Mr. Fridtjof Arne",1,24.0,0,0,7.1417,2,Adulte
129,1,3,"Peter, Miss. Anna",0,28.0,1,1,22.3583,0,Adulte
130,0,3,"Ekstrom, Mr. Johan",1,45.0,0,0,6.975,2,Adulte
131,0,3,"Drazenoic, Mr. Jozef",1,33.0,0,0,7.8958,0,Adulte
132,0,3,"Coelho, Mr. Domingos Fernandeo",1,20.0,0,0,7.05,2,Adulte
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",0,47.0,1,0,14.5,2,Adulte
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",0,29.0,1,0,26.0,2,Adulte
135,0,2,"Sobey, Mr. Samuel James Hayden",1,25.0,0,0,13.0,2,Adulte
136,0,2,"Richard, Mr. Emile",1,23.0,0,0,15.0458,0,Adulte
137,1,1,"Newsom, Miss. Helen Monypeny",0,19.0,0,2,26.2833,2,Adulte
138,0,1,"Futrelle, Mr. Jacques Heath",1,37.0,1,0,53.1,2,Adulte
139,0,3,"Osen, Mr. Olaf Elon",1,16.0,0,0,9.2167,2,Enfant
140,0,1,"Giglio, Mr. Victor",1,24.0,0,0,79.2,0,Adulte
141,0,3,"Boulos, Mrs. Joseph (Sultana)",0,28.0,0,2,15.2458,0,Adulte
142,1,3,"Nysten, Miss. Anna Sofia",0,22.0,0,0,7.75,2,Adulte
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",0,24.0,1,0,15.85,2,Adulte
144,0,3,"Burke, Mr. Jeremiah",1,19.0,0,0,6.75,1,Adulte
145,0,2,"Andrew, Mr. Edgardo Samuel",1,18.0,0,0,11.5,2,Adulte
146,0,2,"Nicholls, Mr. Joseph Charles",1,19.0,1,1,36.75,2,Adulte
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",1,27.0,0,0,7.7958,2,Adulte
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",0,9.0,2,2,34.375,2,Enfant
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",1,36.5,0,2,26.0,2,Adulte
150,0,2,"Byles, Rev. Thomas Roussel Davids",1,42.0,0,0,13.0,2,Adulte
151,0,2,"Bateman, Rev. Robert James",1,51.0,0,0,12.525,2,Adulte
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",0,22.0,1,0,66.6,2,Adulte
153,0,3,"Meo, Mr. Alfonzo",1,55.5,0,0,8.05,2,Adulte
154,0,3,"van Billiard, Mr. Austin Blyler",1,40.5,0,2,14.5,2,Adulte
155,0,3,"Olsen, Mr. Ole Martin",1,28.0,0,0,7.3125,2,Adulte
156,0,1,"Williams, Mr. Charles Duane",1,51.0,0,1,61.3792,0,Adulte
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",0,16.0,0,0,7.7333,1,Enfant
158,0,3,"Corn, Mr. Harry",1,30.0,0,0,8.05,2,Adulte
159,0,3,"Smiljanic, Mr. Mile",1,28.0,0,0,8.6625,2,Adulte
160,0,3,"Sage, Master. Thomas Henry",1,28.0,8,2,69.55,2,Adulte
161,0,3,"Cribb, Mr. John Hatfield",1,44.0,0,1,16.1,2,Adulte
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",0,40.0,0,0,15.75,2,Adulte
163,0,3,"Bengtsson, Mr. John Viktor",1,26.0,0,0,7.775,2,Adulte
164,0,3,"Calic, Mr. Jovo",1,17.0,0,0,8.6625,2,Enfant
165,0,3,"Panula, Master. Eino Viljami",1,1.0,4,1,39.6875,2,Enfant
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",1,9.0,0,2,20.525,2,Enfant
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",0,28.0,0,1,55.0,2,Adulte
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",0,45.0,1,4,27.9,2,Adulte
169,0,1,"Baumann, Mr. John D",1,28.0,0,0,25.925,2,Adulte
170,0,3,"Ling, Mr. Lee",1,28.0,0,0,56.4958,2,Adulte
171,0,1,"Van der hoef, Mr. Wyckoff",1,61.0,0,0,33.5,2,Senior
172,0,3,"Rice, Master. Arthur",1,4.0,4,1,29.125,1,Enfant
173,1,3,"Johnson, Miss. Eleanor Ileen",0,1.0,1,1,11.1333,2,Enfant
174,0,3,"Sivola, Mr. Antti Wilhelm",1,21.0,0,0,7.925,2,Adulte
175,0,1,"Smith, Mr. James Clinch",1,56.0,0,0,30.6958,0,Adulte
176,0,3,"Klasen, Mr. Klas Albin",1,18.0,1,1,7.8542,2,Adulte
177,0,3,"Lefebre, Master. Henry Forbes",1,28.0,3,1,25.4667,2,Adulte
178,0,1,"Isham, Miss. Ann Elizabeth",0,50.0,0,0,28.7125,0,Adulte
179,0,2,"Hale, Mr. Reginald",1,30.0,0,0,13.0,2,Adulte
180,0,3,"Leonard, Mr. Lionel",1,36.0,0,0,0.0,2,Adulte
181,0,3,"Sage, Miss. Constance Gladys",0,28.0,8,2,69.55,2,Adulte
182,0,2,"Pernot, Mr. Rene",1,28.0,0,0,15.05,0,Adulte
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",1,9.0,4,2,31.3875,2,Enfant
184,1,2,"Becker, Master. Richard F",1,1.0,2,1,39.0,2,Enfant
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",0,4.0,0,2,22.025,2,Enfant
186,0,1,"Rood, Mr. Hugh Roscoe",1,28.0,0,0,50.0,2,Adulte
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",0,28.0,1,0,15.5,1,Adulte
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",1,45.0,0,0,26.55,2,Adulte
189,0,3,"Bourke, Mr. John",1,40.0,1,1,15.5,1,Adulte
190,0,3,"Turcin, Mr. Stjepan",1,36.0,0,0,7.8958,2,Adulte
191,1,2,"Pinsky, Mrs. (Rosa)",0,32.0,0,0,13.0,2,Adulte
192,0,2,"Carbines, Mr. William",1,19.0,0,0,13.0,2,Adulte
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",0,19.0,1,0,7.8542,2,Adulte
194,1,2,"Navratil, Master. Michel M",1,3.0,1,1,26.0,2,Enfant
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",0,44.0,0,0,27.7208,0,Adulte
196,1,1,"Lurette, Miss. Elise",0,58.0,0,0,146.5208,0,Adulte
197,0,3,"Mernagh, Mr. Robert",1,28.0,0,0,7.75,1,Adulte
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",1,42.0,0,1,8.4042,2,Adulte
199,1,3,"Madigan, Miss. Margaret ""Maggie""",0,28.0,0,0,7.75,1,Adulte
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",0,24.0,0,0,13.0,2,Adulte
201,0,3,"Vande Walle, Mr. Nestor Cyriel",1,28.0,0,0,9.5,2,Adulte
202,0,3,"Sage, Mr. Frederick",1,28.0,8,2,69.55,2,Adulte
203,0,3,"Johanson, Mr. Jakob Alfred",1,34.0,0,0,6.4958,2,Adulte
204,0,3,"Youseff, Mr. Gerious",1,45.5,0,0,7.225,0,Adulte
205,1,3,"Cohen, Mr. Gurshon ""Gus""",1,18.0,0,0,8.05,2,Adulte
206,0,3,"Strom, Miss. Telma Matilda",0,2.0,0,1,10.4625,2,Enfant
207,0,3,"Backstrom, Mr. Karl Alfred",1,32.0,1,0,15.85,2,Adulte
208,1,3,"Albimona, Mr. Nassef Cassem",1,26.0,0,0,18.7875,0,Adulte
209,1,3,"Carr, Miss. Helen ""Ellen""",0,16.0,0,0,7.75,1,Enfant
210,1,1,"Blank, Mr. Henry",1,40.0,0,0,31.0,0,Adulte
211,0,3,"Ali, Mr. Ahmed",1,24.0,0,0,7.05,2,Adulte
212,1,2,"Cameron, Miss. Clear Annie",0,35.0,0,0,21.0,2,Adulte
213,0,3,"Perkin, Mr. John Henry",1,22.0,0,0,7.25,2,Adulte
214,0,2,"Givard, Mr. Hans Kristensen",1,30.0,0,0,13.0,2,Adulte
215,0,3,"Kiernan, Mr. Philip",1,28.0,1,0,7.75,1,Adulte
216,1,1,"Newell, Miss. Madeleine",0,31.0,1,0,113.275,0,Adulte
217,1,3,"Honkanen, Miss. Eliina",0,27.0,0,0,7.925,2,Adulte
218,0,2,"Jacobsohn, Mr. Sidney Samuel",1,42.0,1,0,27.0,2,Adulte
219,1,1,"Bazzani, Miss. Albina",0,32.0,0,0,76.2917,0,Adulte
220,0,2,"Harris, Mr. Walter",1,30.0,0,0,10.5,2,Adulte
221,1,3,"Sunderland, Mr. Victor Francis",1,16.0,0,0,8.05,2,Enfant
222,0,2,"Bracken, Mr. James H",1,27.0,0,0,13.0,2,Adulte
223,0,3,"Green, Mr. George Henry",1,51.0,0,0,8.05,2,Adulte
224,0,3,"Nenkoff, Mr. Christo",1,28.0,0,0,7.8958,2,Adulte
225,1,1,"Hoyt, Mr. Frederick Maxfield",1,38.0,1,0,90.0,2,Adulte
226,0,3,"Berglund, Mr. Karl Ivar Sven",1,22.0,0,0,9.35,2,Adulte
227,1,2,"Mellors, Mr. William John",1,19.0,0,0,10.5,2,Adulte
228,0,3,"Lovell, Mr. John Hall (""Henry"")",1,20.5,0,0,7.25,2,Adulte
229,0,2,"Fahlstrom, Mr. Arne Jonas",1,18.0,0,0,13.0,2,Adulte
230,0,3,"Lefebre, Miss. Mathilde",0,28.0,3,1,25.4667,2,Adulte
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",0,35.0,1,0,83.475,2,Adulte
232,0,3,"Larsson, Mr. Bengt Edvin",1,29.0,0,0,7.775,2,Adulte
233,0,2,"Sjostedt, Mr. Ernst Adolf",1,59.0,0,0,13.5,2,Adulte
234,1,3,"Asplund, Miss. Lillian Gertrud",0,5.0,4,2,31.3875,2,Enfant
235,0,2,"Leyson, Mr. Robert William Norman",1,24.0,0,0,10.5,2,Adulte
236,0,3,"Harknett, Miss. Alice Phoebe",0,28.0,0,0,7.55,2,Adulte
237,0,2,"Hold, Mr. Stephen",1,44.0,1,0,26.0,2,Adulte
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",0,8.0,0,2,26.25,2,Enfant
239,0,2,"Pengelly, Mr. Frederick William",1,19.0,0,0,10.5,2,Adulte
240,0,2,"Hunt, Mr. George Henry",1,33.0,0,0,12.275,2,Adulte
241,0,3,"Zabour, Miss. Thamine",0,28.0,1,0,14.4542,0,Adulte
242,1,3,"Murphy, Miss. Katherine ""Kate""",0,28.0,1,0,15.5,1,Adulte
243,0,2,"Coleridge, Mr. Reginald Charles",1,29.0,0,0,10.5,2,Adulte
244,0,3,"Maenpaa, Mr. Matti Alexanteri",1,22.0,0,0,7.125,2,Adulte
245,0,3,"Attalah, Mr. Sleiman",1,30.0,0,0,7.225,0,Adulte
246,0,1,"Minahan, Dr. William Edward",1,44.0,2,0,90.0,1,Adulte
247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",0,25.0,0,0,7.775,2,Adulte
248,1,2,"Hamalainen, Mrs. William (Anna)",0,24.0,0,2,14.5,2,Adulte
249,1,1,"Beckwith, Mr. Richard Leonard",1,37.0,1,1,52.5542,2,Adulte
250,0,2,"Carter, Rev. Ernest Courtenay",1,54.0,1,0,26.0,2,Adulte
251,0,3,"Reed, Mr. James George",1,28.0,0,0,7.25,2,Adulte
252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",0,29.0,1,1,10.4625,2,Adulte
253,0,1,"Stead, Mr. William Thomas",1,62.0,0,0,26.55,2,Senior
254,0,3,"Lobb, Mr. William Arthur",1,30.0,1,0,16.1,2,Adulte
255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0,41.0,0,2,20.2125,2,Adulte
256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",0,29.0,0,2,15.2458,0,Adulte
257,1,1,"Thorne, Mrs. Gertrude Maybelle",0,28.0,0,0,79.2,0,Adulte
258,1,1,"Cherry, Miss. Gladys",0,30.0,0,0,86.5,2,Adulte
259,1,1,"Ward, Miss. Anna",0,35.0,0,0,512.3292,0,Adulte
260,1,2,"Parrish, Mrs. (Lutie Davis)",0,50.0,0,1,26.0,2,Adulte
261,0,3,"Smith, Mr. Thomas",1,28.0,0,0,7.75,1,Adulte
262,1,3,"Asplund, Master. Edvin Rojj Felix",1,3.0,4,2,31.3875,2,Enfant
263,0,1,"Taussig, Mr. Emil",1,52.0,1,1,79.65,2,Adulte
264,0,1,"Harrison, Mr. William",1,40.0,0,0,0.0,2,Adulte
265,0,3,"Henry, Miss. Delia",0,28.0,0,0,7.75,1,Adulte
266,0,2,"Reeves, Mr. David",1,36.0,0,0,10.5,2,Adulte
267,0,3,"Panula, Mr. Ernesti Arvid",1,16.0,4,1,39.6875,2,Enfant
268,1,3,"Persson, Mr. Ernst Ulrik",1,25.0,1,0,7.775,2,Adulte
269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",0,58.0,0,1,153.4625,2,Adulte
270,1,1,"Bissette, Miss. Amelia",0,35.0,0,0,135.6333,2,Adulte
271,0,1,"Cairns, Mr. Alexander",1,28.0,0,0,31.0,2,Adulte
272,1,3,"Tornquist, Mr. William Henry",1,25.0,0,0,0.0,2,Adulte
273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",0,41.0,0,1,19.5,2,Adulte
274,0,1,"Natsch, Mr. Charles H",1,37.0,0,1,29.7,0,Adulte
275,1,3,"Healy, Miss. Hanora ""Nora""",0,28.0,0,0,7.75,1,Adulte
276,1,1,"Andrews, Miss. Kornelia Theodosia",0,63.0,1,0,77.9583,2,Senior
277,0,3,"Lindblom, Miss. Augusta Charlotta",0,45.0,0,0,7.75,2,Adulte
278,0,2,"Parkes, Mr. Francis ""Frank""",1,28.0,0,0,0.0,2,Adulte
279,0,3,"Rice, Master. Eric",1,7.0,4,1,29.125,1,Enfant
280,1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",0,35.0,1,1,20.25,2,Adulte
281,0,3,"Duane, Mr. Frank",1,65.0,0,0,7.75,1,Senior
282,0,3,"Olsson, Mr. Nils Johan Goransson",1,28.0,0,0,7.8542,2,Adulte
283,0,3,"de Pelsmaeker, Mr. Alfons",1,16.0,0,0,9.5,2,Enfant
284,1,3,"Dorking, Mr. Edward Arthur",1,19.0,0,0,8.05,2,Adulte
285,0,1,"Smith, Mr. Richard William",1,28.0,0,0,26.0,2,Adulte
286,0,3,"Stankovic, Mr. Ivan",1,33.0,0,0,8.6625,0,Adulte
287,1,3,"de Mulder, Mr. Theodore",1,30.0,0,0,9.5,2,Adulte
288,0,3,"Naidenoff, Mr. Penko",1,22.0,0,0,7.8958,2,Adulte
289,1,2,"Hosono, Mr. Masabumi",1,42.0,0,0,13.0,2,Adulte
290,1,3,"Connolly, Miss. Kate",0,22.0,0,0,7.75,1,Adulte
291,1,1,"Barber, Miss. Ellen ""Nellie""",0,26.0,0,0,78.85,2,Adulte
292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",0,19.0,1,0,91.0792,0,Adulte
293,0,2,"Levy, Mr. Rene Jacques",1,36.0,0,0,12.875,0,Adulte
294,0,3,"Haas, Miss. Aloisia",0,24.0,0,0,8.85,2,Adulte
295,0,3,"Mineff, Mr. Ivan",1,24.0,0,0,7.8958,2,Adulte
296,0,1,"Lewy, Mr. Ervin G",1,28.0,0,0,27.7208,0,Adulte
297,0,3,"Hanna, Mr. Mansour",1,23.5,0,0,7.2292,0,Adulte
298,0,1,"Allison, Miss. Helen Loraine",0,2.0,1,2,151.55,2,Enfant
299,1,1,"Saalfeld, Mr. Adolphe",1,28.0,0,0,30.5,2,Adulte
300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",0,50.0,0,1,247.5208,0,Adulte
301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",0,28.0,0,0,7.75,1,Adulte
302,1,3,"McCoy, Mr. Bernard",1,28.0,2,0,23.25,1,Adulte
